OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,Ref_ID,X,Y,User_fld,Addr_type,ARC_Street,ARC_City,ARC_State,ARC_ZIP,Name,Municipali,Address,Municipa_1,ZipCodes,x2,y2
56,DW_Addressing_,M,98.91,A,"79 SOLDIERS LN, MOON, PA, 15108", ,3175606,1282140.433,435277.236,0,StreetAddress,79 Soldiers Lane,Moon Twp., ,15108,Pittsburgh Commissary,Moon Twp.,79 Soldiers Lane,Moon Twp.,15108,566222.9563,4483755.713
57, ,U,0,A, , ,-1,0,0, , , , , , ,(formerly CE Kelly Commissary), , , ,0,,
58,DW_Addressing_,M,100,A,"25 FOSTER AVE, CRAFTON, PA, 15205", ,3040453,1322981.6,411875.3986,0,StreetAddress,25 Foster Avenue,Crafton, ,15205,Save A Lot,Crafton,25 Foster Avenue,Pittsburgh,15205,578921.6695,4477087.687
59,DW_Addressing_,M,100,A,"9 DUQUESNE PLZ, DUQUESNE, PA, 15110", ,3168198,1384345.458,386251.8126,0,StreetAddress,9 Duquesne Plaza,Duquesne, ,15110,Sav-A-Lot,Duquesne,9 Duquesne Plaza,Duquesne,15110,597895.0383,4469972.75
60,DW_Addressing_,M,100,A,"355 LINCOLN HWY, NORTH VERSAILLES, PA, 15137", ,3166464,1391548.194,389686.2718,0,StreetAddress,355 Lincoln Highway,North Versailles, ,15137,Sav-A-Lot,North Versailles,355 Lincoln Highway,North Versailles,15137,600049.9378,4471099.333
61,DW_Addressing_,M,100,A,"725 ROSS AVE, WILKINSBURG, PA, 15221", ,3168180,1374538.282,411342.5441,0,StreetAddress,725 Ross Ave.,Wilkinsburg, ,15221,Sav-A-Lot,Wilkinsburg,725 Ross Ave.,Pittsburgh,15221,594627.3255,4477503.439
62,DW_Addressing_,M,100,A,"5001 LIBRARY RD, BETHEL PARK, PA, 15102", ,2691661,1334500.702,375281.102,0,StreetAddress,5001 Library Road,Bethel Park, ,15102,Shop N Save,Bethel Park,5001 Library Road,Bethel Park,15102,582839.4767,4466073.489
63,DW_Addressing_,M,94.12,A,"1119 BROWNSVILLE RD, PITTSBURGH, PA, 15210",L,48814,1344482.488,398490.3287,0,Address,1119 Brownsville Road,Brentwood, ,15210,Shop N Save,Brentwood,1119 Brownsville Road,Pittsburgh,15210,585618.952,4473252.819
64,DW_Addressing_,M,94.28,A,"4647 BUTTERMILK HOLLOW RD, WEST MIFFLIN, PA, 15122", ,3015114,1367595.5,381699.7009,0,StreetAddress,4647 Buttermilk Hollow Road,Buttermilk Hollow, ,15122,Shop N Save,Buttermilk Hollow,4647 Buttermilk Hollow Road,West Mifflin,15122,592845.3711,4468398.853
65,DW_Addressing_,M,97.12,A,"799 CASTLE SHANNON BLVD, MT LEBANON, PA, 15234", ,2739635,1333658.601,385541.6011,0,StreetAddress,799 Castle Shannon Blvd.,Castle Shannon, ,15234,Shop N Save,Castle Shannon,799 Castle Shannon Blvd.,Pittsburgh,15234,582468.0782,4469188.48
66,DW_Addressing_,M,95.1,A,"1850 CENTRE AVE, PITTSBURGH, PA, 15219", ,2896675,1347388.434,411771.6971,0,StreetAddress,1850 Centre Ave.,Centre Ave, ,15219,Shop N Save,Centre Ave,1850 Centre Ave.,Pittsburgh,15219,586354.9656,4477329.737
67,DW_Addressing_,M,94.34,A,"2381 MOUNTAIN VIEW DR, WEST MIFFLIN, PA, 15122",R,28396,1356349.819,377087.6551,0,Address,2381 Mountain View Drive,Century Square, ,15122,Shop N Save,Century Square,2381 Mountain View Drive,West Mifflin,15122,589472.5611,4466868.409
68,DW_Addressing_,M,95.86,A,"1886 HOMEVILLE RD, WEST MIFFLIN, PA, 15122", ,3168274,1377445.347,382936.5385,0,StreetAddress,1886 Homeville Road,Duquesne Village, ,15122,Shop N Save Village,Duquesne Village,1886 Homeville Road,West Mifflin,15122,595830.9678,4468885.862
69, ,U,0,A, , ,-1,0,0, , ,201 Richland Mall,Gibsonia, ,15044,Shop N Save,Gibsonia,201 Richland Mall,Gibsonia,15044,,
70,DW_Addressing_,M,95.08,A,"917 BUTLER ST, SHALER, PA, 15223", ,3168229,1357079.744,436779.0664,0,StreetAddress,917 Butler Street,Glenshaw, ,15223,Shop N Save,Glenshaw,917 Butler Street,Pittsburgh,15223,589025.6722,4485053.493
71,DW_Addressing_,M,98.03,A,"4548 BROADWAY BLVD, MONROEVILLE, PA, 15146", ,3123920,1406649.998,391036.0021,0,StreetAddress,4548 Broadway Boulevard,Haymaker Village, ,15146,Shop N Save,Haymaker Village,4548 Broadway Boulevard,Monroeville,15146,604633.6731,4471679.603
72,DW_Addressing_,T,94.29,A,"2100 WASHINGTON PIKE, SCOTT, PA, 15106", ,2791443,1315624.702,391950.4015,0,StreetAddress,2100 Washington Pike,Heidelberg, ,15106,Shop N Save,Heidelberg,2100 Washington Pike,Carnegie,15106,576904.7813,4470937.912
73,DW_Addressing_,M,96.15,A,"2362 GOLDEN MILE HWY, PLUM, PA, 15239", ,3168120,1424646.172,417369.7698,0,StreetAddress,2362 Golden Mile Highway,Holiday Park, ,15239,Shop N Save,Holiday Park,2362 Golden Mile Highway,Pittsburgh,15239,609818.7974,4479900.713
74,DW_Addressing_,M,93.13,A,"600 MARKETPLACE DR, NORTH FAYETTE, PA, 15071", ,3158901,1275172.24,412998.4247,0,StreetAddress,600 Market Place Drive,Imperial, ,15071,Shop N Save,Imperial,600 Market Place Drive,Oakdale,15071,564350.9359,4476893.671
75,DW_Addressing_,M,95.23,A,"450 56TH ST, PITTSBURGH, PA, 15201", ,2805720,1356883.799,426702.5994,0,StreetAddress,450 56th Street,Lawrenceville, ,15201,Shop N Save,Lawrenceville,450 56th Street,Pittsburgh,15201,589079.0157,4481982.868
76,DW_Addressing_,M,100,A,"815 5TH AVE, MCKEESPORT, PA, 15132", ,2713949,1381587.298,378050.8015,0,StreetAddress,815 Fifth Avenue,McKeesport, ,15132,Shop N Save,McKeesport,815 Fifth Avenue,McKeesport,15132,597147.0161,4467444.47
77,DW_Addressing_,T,96.27,A,"125 VIRGINIA AVE, PITTSBURGH, PA, 15211", ,2694562,1340090.2,407305.4018,0,StreetAddress,125 Virginia Avenue,Mt. Washington, ,15211,Shop N Save,Mt. Washington,125 Virginia Avenue,Pittsburgh,15211,584182.6363,4475887.877
78,DW_Addressing_,M,93.4,A,"2103 NOBLESTOWN RD, PITTSBURGH, PA, 15205", ,2994319,1327733.601,408090.8017,0,StreetAddress,2103 Noblestown Road,Noblestown, ,15205,Shop N Save,Noblestown,2103 Noblestown Road,Pittsburgh,15205,580411.1221,4475988.518
79,DW_Addressing_,T,94.92,A,"4313 WALNUT ST, VERSAILLES, PA, 15132", ,2984266,1387552.899,366987.6017,0,StreetAddress,4313 Walnut Street,Olympia, ,15132,Shop N Save,Olympia,4313 Walnut Street,Mckeesport,15132,599087.6043,4464142.33
80, ,U,0,A, , ,-1,0,0, , ,2820 Universal Road,Penn Hills, ,15235,Shop N Save,Penn Hills,2820 Universal Road,Pittsburgh,15235,,
81,DW_Addressing_,M,95.51,A,"1130 PERRY HWY, ROSS, PA, 15237", ,3007247,1333408.302,450685.5982,0,StreetAddress,1130 Perry Highway,Pines Plaza, ,15237,Shop N Save,Pines Plaza,1130 Perry Highway,Pittsburgh,15237,581661.4496,4489022.66
82,DW_Addressing_,M,96.34,A,"184 ROCHESTER RD, ROSS, PA, 15229", ,3054998,1338000.198,440315.6987,0,StreetAddress,184 Rochester Road,Rochester Road, ,15229,Shop N Save,Rochester Road,184 Rochester Road,Pittsburgh,15229,583176.05,4485916.435
83,DW_Addressing_,M,93.05,A,"908 LITTLE DEER CREEK VALLEY RD, WEST DEER, PA, 15076", ,2844118,1390069.899,471413.0989,0,StreetAddress,908 Little Deer Creek Valley Rd.,Russelton, ,15076,Shop N Save,Russelton,908 Little Deer Creek Valley Rd.,Russelton,15076,598683.1129,4495970.312
84,DW_Addressing_,M,100,A,"1620 BABCOCK BLVD, SHALER, PA, 15209", ,2717654,1348705.6,432513.7992,0,StreetAddress,1620 Babcock Blvd.,Shaler, ,15209,Shop N Save,Shaler,1620 Babcock Blvd.,Pittsburgh,15209,586523.4724,4483660.739
85,DW_Addressing_,M,98.91,A,"3335 WILLIAM PENN HWY, WILKINS, PA, 15235", ,2745608,1392977.498,407302.7024,0,StreetAddress,3335 William Penn Highway,Wilkins Twp., ,15235,Shop N Save,Wilkins Twp.,3335 William Penn Highway,Pittsburgh,15235,600287.7337,4476479.951
86,DW_Addressing_,M,94.44,A,"4401 LIBERTY AVE, PITTSBURGH, PA, 15224",L,51225,1355684.876,419396.6792,0,Address,4401 Liberty Avenue,Bloomfield, ,15224,Shur Save,Bloomfield,4401 Liberty Avenue,Pittsburgh,15224,588795.8522,4479744.666
87,DW_Addressing_,M,96.38,A,"6231 PENN AVE, PITTSBURGH, PA, 15206", ,2822613,1364206.898,418173.1991,0,StreetAddress,6231 Penn Ave.,East Liberty, ,15206,Target,East Liberty,6231 Penn Ave.,East Liberty,15206,591404.6556,4479467.654
88, ,U,0,A, , ,-1,0,0, , , , , , , , , , ,0,,
89,DW_Addressing_,M,97.38,A,"2661 FREEPORT RD, HARMAR, PA, 15238", ,2773357,1388350.799,445875.1986,0,StreetAddress,2661 Freeport Road,Harmarville, ,15238,Target,Harmarville,2661 Freeport Road,Harmarville,15238,598446.207,4488174.217
